Id,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
1615,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0
1616,Maruti Swift ZDI Plus,2013,450000,43978,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1617,Hyundai Grand i10 AT Asta,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
1618,Hyundai i20 1.4 Asta Option,2018,850000,50000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
1619,Tata New Safari DICOR 2.2 EX 4x2,2011,300000,120000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
1620,Mahindra Scorpio 2009-2014 EX 2WD 9S,2014,655000,50000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,9.0
1621,Maruti Alto K10 VXI Optional,2019,399000,10000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
1622,Hyundai Elite i20 Magna Plus BSIV,2019,650000,3500,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5.0
1623,Mahindra Bolero DI DX 7 Seater,2007,210000,207890,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
1624,Maruti Alto LXi,2010,215000,64000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
1625,Tata Venture EX 7 Str Captain Seats,2014,317000,15000,Diesel,Individual,Manual,First Owner,15.42 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,7.0
1626,Hyundai i20 Sportz 1.4 CRDi,2014,420000,50000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
1627,Tata Indica V2 DLE BSIII,2011,114999,172000,Diesel,Individual,Manual,Second Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
1628,Honda Jazz 1.5 V i DTEC,2015,600000,90000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
1629,Mahindra Bolero 2011-2019 Plus - AC BSIII,2012,340000,110000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
1630,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0
1631,Tata Hexa XT,2017,1282000,45000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0
1632,Tata Indigo CS eGLS BS IV,2013,250000,50000,Petrol,Individual,Manual,First Owner,15.64 kmpl,1193 CC,64.1 bhp,100Nm@ 2700rpm,5.0
1633,Maruti Wagon R LXI,2003,145000,65000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1634,Maruti Ritz VDi,2014,370000,30000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0
1635,Hyundai Xcent 1.1 CRDi SX,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0
1636,Volkswagen Vento 1.6 Highline,2014,500000,70000,Petrol,Individual,Manual,Second Owner,15.04 kmpl,1598 CC,103.2 bhp,153Nm@ 3800rpm,5.0
1637,Mahindra KUV 100 D75 K4 Plus,2018,420000,31000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0
1638,Volkswagen Vento Diesel Highline,2011,300000,72000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
1639,Maruti Wagon R LXI Minor,2010,200000,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
1640,Hyundai i20 Asta 1.4 CRDi,2012,525000,120000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
1641,Tata New Safari DICOR 2.2 LX 4x2,2009,250000,110000,Diesel,Individual,Manual,First Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
1642,Honda Amaze S AT i-Vtech,2015,415000,45000,Petrol,Individual,Automatic,First Owner,15.5 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0
1643,Ford Figo Aspire 1.5 TDCi Titanium Opt,2017,550000,70000,Diesel,Individual,Manual,Second Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
1644,Maruti Baleno Zeta Automatic,2018,775000,21147,Petrol,Dealer,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
1645,Renault Duster 110PS Diesel RxZ,2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
1646,Hyundai EON Era Plus,2017,254999,34000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
1647,Volkswagen Vento Diesel Breeze,2012,400000,60000,Diesel,Individual,Manual,Third Owner,20.5 kmpl,1598 CC,105 bhp,250Nm@ 1500-2500rpm,5.0
1648,Maruti Ritz VDi,2010,217000,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
1649,Tata Indigo CS LS DiCOR,2010,150000,70000,Diesel,Individual,Manual,Third Owner,15.7 kmpl,1405 CC,70 bhp,"14.3@ 1,800-3,000(kgm@ rpm)",5.0
1650,Nissan Sunny XV D,2017,580000,90000,Diesel,Individual,Manual,Second Owner,22.71 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm,5.0
1651,Tata Zest Revotron 1.2 XT,2017,550000,120000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5.0
1652,Mahindra Scorpio 2.6 DX,2006,350000,90000,Diesel,Individual,Manual,First Owner,12.7 kmpl,2609 CC,116.6 bhp,"28.3@ 1,700-2,200(kgm@ rpm)",8.0
1653,Maruti Celerio ZXI,2015,400000,30000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
1654,Honda City i-VTEC CVT ZX,2019,1227000,5000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
1655,Maruti Vitara Brezza ZDi Plus,2017,800000,52000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1656,Hyundai i20 Magna,2014,330000,30000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
1657,Maruti Swift ZXI ABS,2011,325000,58000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0
1658,Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,,,,,
1659,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
1660,Hyundai Verna 1.6 SX,2012,360000,100000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
1661,Toyota Fortuner 2.8 2WD MT BSIV,2018,2900000,46000,Diesel,Individual,Manual,First Owner,14.24 kmpl,2755 CC,174.5 bhp,420Nm@ 1400-2600rpm,7.0
1662,Tata Indica V2 DLS TC,2004,55000,90000,Diesel,Individual,Manual,Third Owner,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5.0
1663,Toyota Innova 2.5 GX 8 STR,2012,610000,90000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
1664,Maruti Wagon R LXI,2006,140000,150000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1665,Fiat Linea Emotion (Diesel),2010,190000,178000,Diesel,Individual,Manual,Second Owner,20.4 kmpl,1248 CC,91.7 bhp,209Nm@ 2000rpm,5.0
1666,Ford Freestyle Titanium Petrol BSIV,2018,690000,25000,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0
1667,Maruti Alto AX,2005,80000,90000,Petrol,Individual,Automatic,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
1668,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
1669,Ford Fiesta 1.6 ZXi ABS,2010,250000,47000,Petrol,Individual,Manual,First Owner,15.3 kmpl,1596 CC,101 bhp,"14.9@ 3,400(kgm@ rpm)",5.0
1670,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0
1671,Renault KWID RXE,2017,285000,5000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
1672,Hyundai EON Era Plus,2014,250000,2350,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
1673,Hyundai i10 Magna 1.1L,2014,300000,100000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
1674,Volkswagen Vento 1.5 TDI Comfortline,2015,560000,43001,Diesel,Dealer,Manual,First Owner,22.27 kmpl,1498 CC,108.6 bhp,250Nm@ 1500-3000rpm,5.0
1675,Tata Tiago 1.2 Revotron XZ,2017,390000,20000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
1676,Tata Indigo CS LX (TDI) BS III,2010,200000,175000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5.0
1677,Maruti Alto K10 LXI,2017,300000,30000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
1678,Hyundai i10 Magna 1.1L,2012,225000,110000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
1679,Toyota Etios Cross 1.2L G,2015,600000,10000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1197 CC,78.8 bhp,104Nm@ 3100rpm,5.0
1680,Mahindra Supro LX 8 Str,2018,400000,50000,Diesel,Individual,Manual,First Owner,23.5 kmpl,909 CC,45 bhp,98Nm@ 1600-3000rpm,8.0
1681,Maruti Eeco 5 Seater AC BSIV,2010,150000,170000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5.0
1682,Maruti Alto K10 2010-2014 VXI,2012,220000,13000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1683,Renault KWID RXT Optional,2016,295000,60000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
1684,Hyundai Verna 1.6 SX CRDi (O),2014,730000,60000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
1685,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
1686,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5.0
1687,Maruti Swift VDI BSIV,2014,217000,50000,Diesel,Individual,Manual,First Owner,,,,,
1688,Maruti Swift ZXI Plus,2018,695000,40000,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
1689,Maruti Swift Dzire VDI,2014,438999,81000,Diesel,Dealer,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1690,Maruti Alto K10 2010-2014 VXI,2012,200000,70000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1691,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
1692,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0
1693,Volkswagen Ameo 1.2 MPI Highline,2016,579000,7949,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,73.75 bhp,110Nm@ 3750rpm,5.0
1694,Maruti Swift VDI,2019,690000,20000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1695,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
1696,Mahindra Xylo D4 BSIV,2012,409999,100000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0
1697,Ford EcoSport 1.5 TDCi Titanium BSIV,2015,600000,40000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
1698,Maruti Wagon R LXI CNG Optional,2019,459999,35000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5.0
1699,Honda Jazz 1.2 V i VTEC,2016,625000,54000,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
1700,Hyundai i20 1.2 Magna Executive,2018,555000,25000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
1701,Maruti Ertiga VDI,2015,650000,100000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
1702,Hyundai i20 Active 1.4 SX,2016,720000,80000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5.0
1703,Tata Tiago 1.2 Revotron XM Option,2017,380000,30000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
1704,Hyundai Verna 1.6 VTVT S Option,2015,700000,25000,Petrol,Individual,Manual,First Owner,17.01 kmpl,1591 CC,121.4 bhp,154.9Nm@ 4200rpm,5.0
1705,Mahindra Scorpio S7 120,2019,1300000,20000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
1706,Toyota Corolla Altis D-4D J,2015,1050000,60000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5.0
1707,Volkswagen Vento 1.6 Highline,2014,430000,100000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.2 bhp,153Nm@ 3800rpm,5.0
1708,Chevrolet Enjoy 1.3 TCDi LT 8,2016,535000,32000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.74 bhp,172.5Nm@ 1750rpm,8.0
1709,Tata Indica Vista Terra Quadrajet 1.3L BS IV,2011,180000,87000,Diesel,Individual,Manual,First Owner,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,5.0
1710,Maruti 800 Std,2010,120000,70000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
1711,Hyundai i10 Sportz AT,2011,272000,40736,Petrol,Dealer,Automatic,First Owner,16.95 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
1712,Tata Indica DLX,2003,40000,70000,Diesel,Individual,Manual,First Owner,,,,,
1713,Hyundai Santro Magna BSIV,2019,500000,5000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0
1714,Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
1715,Maruti Alto LXi BSIII,2006,120000,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
1716,Audi Q3 2.0 TDI Quattro Premium Plus,2017,2825000,22000,Diesel,Dealer,Automatic,First Owner,15.73 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0
1717,Maruti Swift Dzire VDI Optional,2018,751000,44885,Diesel,Dealer,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1718,Hyundai Creta 1.6 CRDi AT SX Plus,2018,1150000,44000,Diesel,Individual,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
1719,Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7.0
1720,Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
1721,Toyota Corolla H2,2006,150000,90000,Petrol,Individual,Manual,Third Owner,13.4 kmpl,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5.0
1722,Maruti Swift Dzire VDI,2014,490000,50000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1723,Maruti Swift VDI BSIV,2016,565000,70000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1724,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
1725,Maruti Celerio ZXI,2015,400000,49907,Petrol,Dealer,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
1726,Tata Hexa XT,2018,1525000,50000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0
1727,Maruti Wagon R VXi BSII,2012,225000,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1728,Tata New Safari 3L Dicor LX 4x2,2007,200000,120000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2956 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
1729,Maruti Wagon R LX,2005,110000,110000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1730,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
1731,Hyundai Verna CRDi 1.6 AT SX Option,2019,1200000,20000,Diesel,Individual,Automatic,First Owner,22.0 kmpl,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0
1732,Toyota Etios Liva VD,2015,550000,40000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
1733,Maruti Swift Dzire Vdi BSIV,2011,250000,170000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
1734,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0
1735,Mahindra Bolero DI AC BSIII,2005,250000,80000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
1736,Maruti Alto K10 VXI,2015,300000,24000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
1737,Maruti Ciaz ZDi Plus SHVS,2017,900000,65000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1738,Maruti Vitara Brezza VDi,2018,750000,5000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1739,Honda Amaze VX i-DTEC,2013,500000,116104,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
1740,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
1741,Tata Nano Lx BSIV,2010,45000,30400,Petrol,Individual,Manual,Fourth & Above Owner,26.0 kmpl,624 CC,35 bhp,"48@ 3,000+/-500(NM@ rpm)",4.0
1742,Volkswagen Vento Diesel Highline,2012,450000,90000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
1743,Hyundai Creta 1.6 CRDi SX Plus,2016,1100000,70000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
1744,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
1745,Mahindra Jeep MM 550 XDB,2005,400000,30000,Diesel,Individual,Manual,Second Owner,,,,,
1746,Nissan Micra Diesel XV,2011,250000,50000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0
1747,Maruti Ciaz VDi Plus SHVS,2016,640000,40000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1748,Maruti Ciaz ZDi Plus SHVS,2016,650000,81000,Diesel,Dealer,Manual,Second Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1749,Hyundai i20 Asta 1.4 CRDi (Diesel),2010,340000,110000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
1750,Maruti Swift Dzire VDI,2012,415000,108000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
1751,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
1752,Maruti Swift Vdi BSIII,2010,200000,190000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0
1753,Volkswagen Vento Diesel Highline,2012,380000,200000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
1754,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5.0
1755,Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5.0
1756,Hyundai i20 Asta 1.4 CRDi,2013,459999,60000,Diesel,Individual,Manual,Second Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0
1757,Maruti Swift ZXI,2013,320000,60000,Petrol,Individual,Manual,Fourth & Above Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
1758,Volkswagen Passat Highline DSG S (Spl. Edition),2012,799000,61100,Diesel,Dealer,Automatic,First Owner,14.3 kmpl,1968 CC,140 bhp,"36.6@ 1,750-2,500(kgm@ rpm)",5.0
1759,Ford EcoSport 1.5 TDCi Titanium BSIV,2015,600000,50000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
1760,Maruti Ciaz VDi Plus,2015,600000,70000,Diesel,Individual,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
1761,Hyundai Elite i20 Petrol Asta Option,2018,700000,25000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,114.73nm@ 4000rpm,5.0
1762,Hyundai EON Magna Plus,2012,180000,56000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
1763,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,1850000,60000,Diesel,Individual,Automatic,Second Owner,13.0 kmpl,2143 CC,201.1 bhp,500Nm@ 1600-1800rpm,5.0
1764,Maruti Wagon R LXI BS IV,2011,196000,110000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
1765,Honda Jazz V CVT,2017,725000,6550,Petrol,Individual,Automatic,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
1766,Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5.0
1767,Chevrolet Cruze LTZ AT,2011,440000,90000,Diesel,Individual,Automatic,Second Owner,18.1 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,4.0
1768,Maruti 800 AC,2004,50000,50000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
1769,Maruti Wagon R VXI Optional,2015,360000,34000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
1770,Mahindra XUV500 W8 2WD,2013,950000,49700,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
1771,Maruti Celerio VXI AT,2014,325000,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
